Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",495,725,0.05080232639618807,0.006251002524595206,0.795857212076082,204,212,0.015614642409958017,9606,Homo sapiens,"908;25904;65124;2551;1460;9181;9184;25900;2669;79658;253959;5930;91526;3998;23616;81839;115703;201176;2316;10788;2677;57636;57630;801;55219;2319;64283;10424;10787;1362;2690;143098;22852;4628;4629;57405;55227;29127;26099;2200;57522;3895;27183;26091;26094;3658;4627;22989;1495;10403;124997;58504;81624;2697;80776;1123;2332;55114;701;27072;4637;708;4638;91452;22836;4771;4650;3320;29108;2230;90480;55240;27044;26073;6709;7919;1499;114793;10979;832;55004;3796;10970;3798;3799;4646;10971;4660;91445;91687;57551;84904;79682;27175;3329;26084;10505;1027;3326;5500;6711;5501;3688;5747;6714;4659;5880;5881;22818;2131;84936;2491;83607;83734;5519;57569;55023;79598;57449;55143;3215;284119;3336;613;6722;857;5756;5515;5516;5879;5518;92799;57572;91582;10602;57579;57216;2017;2137;253980;56122;10726;2135;2134;5528;10963;4690;5783;5300;6510;10250;3363;1063;2152;1062;991;151648;2026;995;1058;874;55968;54878;55845;10376;10134;4688;10254;10499;85480;10381;4221;10383;3376;23332;2043;23213;3251;2040;1072;2280;55971;51133;2157;55852;84033;4698;11113;7846;9901;10144;51138;55619;348235;6654;116985;2055;25963;23421;2054;3021;2294;147179;3020;3140;2050;56951;3017;51143;3015;79834;3014;537;8826;2180;4001;3155;64105;23431;2185;2181;54542;3146;79822;9928;9927;23526;8970;5580;6793;5585;6434;5586;286205;81929;3163;790;2071;81930;55766;7514;54438;5578;9815;10211;10574;7879;5216;5337;5338;157285;5594;5595;7532;8502;7531;7410;7534;7533;9710;10109;54443;90624;5347;9826;8976;9824;90627;10226;9828;5361;5364;8997;6453;8874;56990;3183;332;699;7415;55669;10552;8503;55789;10672;140735;25936;25814;4162;7431;23518;9855;9732;23633;23513;80728;79980;54108;7428;11180;6472;54908;11060;10092;8655;8776;7444;10097;7204;10096;9743;94240;28977;64837;29941;85415;151246;11188;9735;84681;8301;94239;7456;9754;3099;120;84317;143872;84790;348995;25;5289;9644;29;23265;220134;23268;57082;64857;23028;23380;6249;9639;51306;5295;4085;9411;7112;8440;9414;5058;28966;58189;28964;5290;200894;5170;387;388;389;54820;9528;54821;5063;6396;11140;8334;7126;2909;23122;23002;23365;390;391;392;5062;395;26999;397;121512;55920;85458;85457;25782;84364;2907;85450;9793;8345;85449;54962;1829;1949;60;85441;8339;85440;8476;10152;23221;23344;1832;1950;23580;84144;55704;89953;10395;71;8349;10398;51347;55701;9318;10276;347733;11004;8365;9212;7277;65992;5099;9217;10163;9578;11130;25894;182;55831;23592;79902;85465;128239;1729;85463;11135;85464;2937;1969;85461;55839;2935;55717;87;85460;93436;92105;55160;10928;7280;57584;9462;9341;91010;1855;10810;55288;55166;1730;56254;57222;80005;79019;1857;1856;22800;9235;93663;9475;8027;9590;10818;7170;9352;9231;7171;1503;79003;1742;55055;26286;81565;22919;1509;1629;1508;9367;158747;57120;29766;57122;6093;8153;84617;57480;1994;29886;147841;84986;1519;3930;51706;50619;9497;50618;157769;22906;9138;221178;401541;55075;79023;84858;1520;57498;84612;1781;26115;1780;79172;57381;1778;1535;1894;26112;30849;5905;30851;3728;2512;26122;2631;2873;347902;83540;80152;5903;23091;3980;29843;92285;2889;1434;2885;83696;50650;1793;5910;3619;3978;79180;27316;8086;64946;26108;9055;80179;23191;2776;1445;23074;23197;3983;30837;103910;51517;5924","","R-HSA-3858489;R-HSA-3858495;R-HSA-5668947;R-HSA-8981637;R-HSA-9014424;R-HSA-5668932;R-HSA-9017488;R-HSA-9692809;R-HSA-9017491;R-HSA-3928608;R-HSA-9014420;R-HSA-5668978;R-HSA-9014433;R-HSA-9017507;R-HSA-9014434;R-HSA-9714361;R-HSA-5668984;R-HSA-9714363;R-HSA-5626469;R-HSA-9014456;R-HSA-5625959;R-HSA-9013435;R-HSA-9013437;R-HSA-9013438;R-HSA-9014449;R-HSA-9014454;R-HSA-9626832;R-HSA-5218827;R-HSA-5665809;R-HSA-9014467;R-HSA-5625883;R-HSA-9626816;R-HSA-9626817;R-HSA-5218841;R-HSA-5663232;R-HSA-8980691;R-HSA-5625870;R-HSA-5665802;R-HSA-5671993;R-HSA-9626848;R-HSA-5671972;R-HSA-5671970;R-HSA-5625901;R-HSA-9696275;R-HSA-5666001;R-HSA-5667037;R-HSA-9693214;R-HSA-5666008;R-HSA-9014296;R-HSA-9714694;R-HSA-5665989;R-HSA-5627072;R-HSA-5667008;R-HSA-9714691;R-HSA-9696267;R-HSA-5665998;R-HSA-9696266;R-HSA-5665999;R-HSA-2197691;R-HSA-2197690;R-HSA-9696271;R-HSA-9014293;R-HSA-9693198;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-9680443;R-HSA-5666046;R-HSA-5668605;R-HSA-9691168;R-HSA-9691174;R-HSA-5667052;R-HSA-5672083;R-HSA-9693250;R-HSA-442586;R-HSA-5626507;R-HSA-5626549;R-HSA-2197698;R-HSA-442592;R-HSA-5665982;R-HSA-9012835;R-HSA-5627071;R-HSA-419049;R-HSA-9693282;R-HSA-9706390;R-HSA-5623632;R-HSA-5671763;R-HSA-9018766;R-HSA-5666129;R-HSA-419087;R-HSA-75016;R-HSA-5671772;R-HSA-9706399;R-HSA-9018754;R-HSA-419083;R-HSA-9706393;R-HSA-9018758;R-HSA-9013145;R-HSA-9013144;R-HSA-9013147;R-HSA-9018778;R-HSA-5623622;R-HSA-5671749;R-HSA-9726848;R-HSA-9018768;R-HSA-9726862;R-HSA-9013143;R-HSA-9018774;R-HSA-9013161;R-HSA-5625717;R-HSA-8981931;R-HSA-9018794;R-HSA-9693111;R-HSA-5666160;R-HSA-5623667;R-HSA-5672304;R-HSA-9018798;R-HSA-9018785;R-HSA-5668735;R-HSA-9018787;R-HSA-5627775;R-HSA-9013157;R-HSA-5668731;R-HSA-5665659;R-HSA-9013159;R-HSA-5669240;R-HSA-5666169;R-HSA-8981926;R-HSA-9013158;R-HSA-9018808;R-HSA-2130194;R-HSA-9018815;R-HSA-9018814;R-HSA-5668718;R-HSA-6798174;R-HSA-5668714;R-HSA-9018804;R-HSA-203070;R-HSA-9018807;R-HSA-9018806;R-HSA-5666070;R-HSA-9018825;R-HSA-9018824;R-HSA-5668629;R-HSA-9018826;R-HSA-9018817;R-HSA-8981443;R-HSA-9693125;R-HSA-5666049;R-HSA-445797;R-HSA-5666104;R-HSA-5671737;R-HSA-5669158;R-HSA-419197;R-HSA-5666088;R-HSA-5665751;R-HSA-5665748;R-HSA-2029469;R-HSA-2029466;R-HSA-9013004;R-HSA-2029465;R-HSA-9013006;R-HSA-2029460;R-HSA-2029456;R-HSA-5625797;R-HSA-5625796;R-HSA-9626880;R-HSA-9013021;R-HSA-9013023;R-HSA-9013022;R-HSA-9013009;R-HSA-9714480;R-HSA-9714481;R-HSA-419232;R-HSA-9714483;R-HSA-9013024;R-HSA-5625849;R-HSA-5625848;R-HSA-5665767;R-HSA-5665761;R-HSA-5671919;R-HSA-9714477;R-HSA-2029473;R-HSA-5666197;R-HSA-5625745;R-HSA-5666178;R-HSA-5669250;R-HSA-442832;R-HSA-5627275;R-HSA-5625738;R-HSA-5672329;R-HSA-5665727;R-HSA-5625784;R-HSA-9690494;R-HSA-9690493;R-HSA-9018745;R-HSA-9018747;R-HSA-9018746;R-HSA-5625774;R-HSA-9013109;R-HSA-9013108;R-HSA-9013111;R-HSA-5666216;R-HSA-9013110"
R-HSA-9012999,"RHO GTPase cycle",323,460,0.032233200196202086,0.0065172056463979056,0.795857212076082,84,91,0.006702511600500847,9606,Homo sapiens,"6472;11180;908;25904;11060;8776;7444;65124;7204;9743;94240;2551;1460;9181;25900;29941;85415;79658;253959;11188;5930;91526;3998;84681;23616;8301;7456;9754;81839;3099;115703;120;201176;84317;143872;10788;57636;57630;55219;2319;64283;10424;10787;9644;29;23265;1362;23268;2690;143098;64857;22852;23380;55227;29127;26099;57522;2200;9639;3895;51306;26091;26094;3658;5295;9411;7112;8440;9414;5058;28966;58189;28964;5290;200894;387;124997;58504;388;81624;389;2697;1123;55114;2332;9528;27072;708;5063;91452;11140;4650;7126;2909;3320;23002;23365;390;2230;391;392;90480;55240;5062;395;26999;397;27044;26073;6709;7919;121512;85458;114793;10979;832;55004;85457;25782;84364;2907;10970;4646;85450;91445;84904;3329;26084;85449;10505;3326;54962;6711;1829;85441;60;3688;6714;85440;8476;5880;5881;10152;22818;23221;2131;23344;84936;1832;57569;55023;79598;57449;284119;23580;3336;3215;84144;613;55704;10395;71;857;51347;55701;9318;5756;10276;5879;65992;5099;92799;9217;10163;9578;25894;57572;182;91582;10602;57579;57216;2137;253980;56122;55831;23592;10726;2135;2134;85465;128239;85463;1729;11135;85464;2937;85461;1969;2935;55717;10963;85460;87;4690;5783;93436;6510;10250;92105;55160;10928;57584;9462;9341;91010;10810;56254;1730;57222;2026;874;80005;55968;54878;55845;10376;10134;4688;10254;22800;85480;9235;93663;9475;8027;9590;10818;2043;7170;2040;9352;9231;7171;2280;55971;1503;51133;26286;55852;84033;4698;11113;1509;1629;9901;10144;1508;51138;55619;158747;6654;116985;57120;25963;29766;147179;6093;8153;2050;57480;56951;1994;29886;79834;84986;537;3930;8826;50619;9497;50618;157769;4001;9138;221178;3155;2185;55075;2181;84858;1520;57498;84612;3146;54542;79822;9928;23526;6793;5585;6434;5586;26115;3163;790;57381;2071;1535;1894;26112;54438;9815;10211;10574;7879;5337;5338;157285;8502;7410;9710;3728;26122;2873;2631;54443;347902;9826;8976;9824;90627;9828;5361;5364;8997;6453;8874;29843;56990;92285;3183;2889;1434;2885;50650;1793;7415;8503;55789;10672;25814;4162;7431;23518;9855;79180;9732;27316;26108;8086;23513;80728;23191;2776;1445;23074;23197;54108;3983;30837;5924","","R-HSA-9696275;R-HSA-9013004;R-HSA-9018766;R-HSA-9013006;R-HSA-9018754;R-HSA-8981637;R-HSA-9693214;R-HSA-9018758;R-HSA-9013145;R-HSA-9013144;R-HSA-9014424;R-HSA-9014296;R-HSA-9013147;R-HSA-9714694;R-HSA-9018778;R-HSA-9013021;R-HSA-9726848;R-HSA-5627072;R-HSA-9013023;R-HSA-9714691;R-HSA-9013022;R-HSA-9013009;R-HSA-9696267;R-HSA-9696266;R-HSA-9017488;R-HSA-9018768;R-HSA-9692809;R-HSA-9017491;R-HSA-9726862;R-HSA-9696271;R-HSA-9014293;R-HSA-9693198;R-HSA-9014420;R-HSA-9013143;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-9018774;R-HSA-9013161;R-HSA-9018794;R-HSA-9714480;R-HSA-9693111;R-HSA-9714481;R-HSA-9714483;R-HSA-9018798;R-HSA-9014433;R-HSA-9018785;R-HSA-9013024;R-HSA-9017507;R-HSA-9018787;R-HSA-9014434;R-HSA-9013157;R-HSA-9714361;R-HSA-9013159;R-HSA-9714363;R-HSA-9013158;R-HSA-9018808;R-HSA-9014456;R-HSA-9013435;R-HSA-9691168;R-HSA-9013437;R-HSA-9691174;R-HSA-9013438;R-HSA-9014449;R-HSA-9714477;R-HSA-9018804;R-HSA-9018807;R-HSA-9018806;R-HSA-9014454;R-HSA-9014467;R-HSA-9693250;R-HSA-9693125;R-HSA-8980691;R-HSA-9012835;R-HSA-9690494;R-HSA-9690493;R-HSA-9018745;R-HSA-9693282;R-HSA-9018747;R-HSA-9018746;R-HSA-9013109;R-HSA-9013108;R-HSA-9013111;R-HSA-9013110"
R-HSA-69618,"Mitotic Spindle Checkpoint",89,111,0.007778011351692243,0.007440536166080647,0.795857212076082,7,7,5.155778154231421E-4,9606,Homo sapiens,"54908;7321;8655;11065;7324;1063;1062;9184;991;151648;55166;1058;996;79019;151246;9735;64682;23332;119504;79003;55055;81565;22919;348995;348235;23421;57122;220134;57082;29882;57405;51143;147841;3014;6249;54931;27183;51703;4085;64105;23431;401541;79023;10403;54820;80776;701;51434;85300;54821;6396;8697;1781;23122;1780;81929;79172;1778;81930;55920;7514;3796;9793;91687;27338;57551;79682;27175;5905;2512;2631;90624;5347;5501;1949;83540;80152;5903;23091;10393;2491;5519;332;55143;1950;3215;699;3619;140735;5515;11004;5516;5518;25936;9212;8881;11130;64946;79980;10726;79902;55839;5528","","R-HSA-141409;R-HSA-141431;R-HSA-141429;R-HSA-141422;R-HSA-141439;R-HSA-141423;R-HSA-141437"
R-HSA-141424,"Amplification of signal from the kinetochores",77,94,0.006586784387919557,0.0075431020544795,0.795857212076082,4,4,2.9461589452750976E-4,9606,Homo sapiens,"54908;6396;8655;1781;23122;1780;1063;81929;79172;1062;9184;1778;81930;991;55166;151648;55920;1058;79019;7514;151246;3796;9735;9793;91687;23332;57551;79682;27175;79003;5905;55055;2512;2631;81565;90624;5347;5501;22919;1949;83540;80152;5903;23091;348995;348235;23421;220134;57122;57082;2491;5519;332;57405;55143;3215;1950;51143;147841;699;3014;6249;3619;140735;5515;27183;11004;5516;5518;9212;25936;4085;11130;64105;23431;401541;64946;79980;79023;10403;54820;10726;80776;701;79902;54821;55839;5528","","R-HSA-141409;R-HSA-141431;R-HSA-141422;R-HSA-141439"
R-HSA-141444,"Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",77,94,0.006586784387919557,0.0075431020544795,0.795857212076082,4,4,2.9461589452750976E-4,9606,Homo sapiens,"54908;6396;8655;1781;23122;1780;1063;81929;79172;1062;9184;1778;81930;991;55166;151648;55920;1058;79019;7514;151246;3796;9735;9793;91687;23332;57551;79682;27175;79003;5905;55055;2512;2631;81565;90624;5347;5501;22919;1949;83540;80152;5903;23091;348995;348235;23421;220134;57122;57082;2491;5519;332;57405;55143;3215;1950;51143;147841;699;3014;6249;3619;140735;5515;27183;11004;5516;5518;9212;25936;4085;11130;64105;23431;401541;64946;79980;79023;10403;54820;10726;80776;701;79902;54821;55839;5528","","R-HSA-141409;R-HSA-141431;R-HSA-141422;R-HSA-141439"
R-HSA-194315,"Signaling by Rho GTPases",483,709,0.049681171606754955,0.007827995903765705,0.795857212076082,195,203,0.01495175664727112,9606,Homo sapiens,"908;25904;65124;2551;1460;9181;9184;25900;2669;79658;253959;5930;91526;3998;23616;81839;115703;201176;2316;10788;2677;57636;57630;801;55219;2319;64283;10424;10787;1362;2690;143098;22852;4628;4629;57405;55227;29127;26099;2200;57522;3895;27183;26091;26094;3658;4627;22989;1495;10403;124997;58504;81624;2697;80776;1123;2332;55114;701;27072;4637;708;4638;91452;4771;4650;3320;29108;2230;90480;55240;27044;26073;6709;7919;1499;114793;10979;832;55004;3796;10970;3798;3799;4646;10971;4660;91445;91687;57551;84904;79682;27175;3329;26084;10505;1027;3326;5500;6711;5501;3688;5747;6714;4659;5880;5881;22818;2131;84936;2491;83607;83734;5519;57569;55023;79598;57449;55143;3215;284119;3336;613;6722;857;5756;5515;5516;5879;5518;92799;57572;91582;10602;57579;57216;2017;2137;253980;56122;10726;2135;2134;5528;10963;4690;5783;5300;6510;10250;1063;2152;1062;991;151648;2026;995;1058;874;55968;54878;55845;10376;10134;4688;10254;10499;85480;10381;4221;10383;3376;23332;2043;23213;3251;2040;1072;2280;55971;51133;2157;55852;84033;4698;11113;7846;9901;10144;51138;55619;348235;6654;116985;2055;25963;23421;2054;3021;147179;3020;3140;2050;56951;3017;51143;3015;79834;3014;537;8826;2180;4001;3155;64105;23431;2185;2181;54542;3146;79822;9928;23526;8970;5580;6793;5585;6434;5586;286205;81929;3163;790;2071;81930;55766;7514;54438;5578;9815;10211;10574;7879;5216;5337;5338;157285;5594;5595;7532;8502;7531;7410;7534;7533;9710;10109;54443;90624;5347;9826;8976;9824;90627;9828;5361;5364;8997;6453;8874;56990;3183;332;699;7415;10552;8503;55789;10672;140735;25936;25814;4162;7431;23518;9855;9732;23633;23513;80728;79980;54108;11180;6472;54908;11060;10092;8655;8776;7444;10097;7204;10096;9743;94240;28977;64837;29941;85415;151246;11188;9735;84681;8301;94239;7456;9754;3099;120;84317;143872;84790;348995;25;5289;9644;29;23265;220134;23268;57082;64857;23028;23380;6249;9639;51306;5295;4085;9411;7112;8440;9414;5058;28966;58189;28964;5290;200894;5170;387;388;389;54820;9528;54821;5063;6396;11140;8334;7126;2909;23122;23002;23365;390;391;392;5062;395;26999;397;121512;55920;85458;85457;25782;84364;2907;85450;9793;8345;85449;54962;1829;1949;60;85441;8339;85440;8476;10152;23221;23344;1832;1950;23580;84144;55704;89953;10395;71;8349;10398;51347;55701;9318;10276;347733;11004;8365;9212;7277;65992;5099;9217;10163;9578;11130;25894;182;55831;23592;79902;85465;128239;1729;85463;11135;85464;2937;1969;85461;55839;2935;55717;87;85460;93436;92105;55160;10928;7280;57584;9462;9341;91010;1855;10810;55166;1730;56254;57222;80005;79019;1857;1856;22800;9235;93663;9475;8027;9590;10818;7170;9352;9231;7171;1503;79003;1742;55055;26286;81565;22919;1509;1629;1508;158747;57120;29766;57122;6093;8153;84617;57480;1994;29886;147841;84986;1519;3930;51706;50619;9497;50618;157769;9138;221178;401541;55075;79023;84858;1520;57498;84612;1781;26115;1780;79172;57381;1778;1535;1894;26112;30849;5905;30851;3728;2512;26122;2631;2873;347902;83540;80152;5903;23091;3980;29843;92285;2889;1434;2885;83696;50650;1793;3619;3978;79180;27316;8086;64946;26108;9055;23191;2776;1445;23074;23197;3983;30837;103910;51517;5924","","R-HSA-3858489;R-HSA-3858495;R-HSA-5668947;R-HSA-8981637;R-HSA-9014424;R-HSA-5668932;R-HSA-9017488;R-HSA-9692809;R-HSA-9017491;R-HSA-3928608;R-HSA-9014420;R-HSA-5668978;R-HSA-9014433;R-HSA-9017507;R-HSA-9014434;R-HSA-9714361;R-HSA-5668984;R-HSA-9714363;R-HSA-5626469;R-HSA-9014456;R-HSA-5625959;R-HSA-9013435;R-HSA-9013437;R-HSA-9013438;R-HSA-9014449;R-HSA-9014454;R-HSA-9626832;R-HSA-5218827;R-HSA-5665809;R-HSA-9014467;R-HSA-5625883;R-HSA-9626816;R-HSA-9626817;R-HSA-5218841;R-HSA-5663232;R-HSA-8980691;R-HSA-5625870;R-HSA-5665802;R-HSA-5671993;R-HSA-9626848;R-HSA-5671972;R-HSA-5671970;R-HSA-5625901;R-HSA-9696275;R-HSA-5666001;R-HSA-5667037;R-HSA-9693214;R-HSA-5666008;R-HSA-9014296;R-HSA-9714694;R-HSA-5665989;R-HSA-5627072;R-HSA-5667008;R-HSA-9714691;R-HSA-9696267;R-HSA-5665998;R-HSA-9696266;R-HSA-5665999;R-HSA-2197691;R-HSA-2197690;R-HSA-9696271;R-HSA-9014293;R-HSA-9693198;R-HSA-9014295;R-HSA-9696268;R-HSA-9014294;R-HSA-9680443;R-HSA-5666046;R-HSA-5668605;R-HSA-9691168;R-HSA-9691174;R-HSA-5667052;R-HSA-5672083;R-HSA-9693250;R-HSA-442586;R-HSA-5626507;R-HSA-5626549;R-HSA-2197698;R-HSA-442592;R-HSA-5665982;R-HSA-9012835;R-HSA-5627071;R-HSA-419049;R-HSA-9693282;R-HSA-5623632;R-HSA-5671763;R-HSA-9018766;R-HSA-5666129;R-HSA-419087;R-HSA-75016;R-HSA-5671772;R-HSA-9018754;R-HSA-419083;R-HSA-9018758;R-HSA-9013145;R-HSA-9013144;R-HSA-9013147;R-HSA-9018778;R-HSA-5623622;R-HSA-5671749;R-HSA-9726848;R-HSA-9018768;R-HSA-9726862;R-HSA-9013143;R-HSA-9018774;R-HSA-9013161;R-HSA-5625717;R-HSA-8981931;R-HSA-9018794;R-HSA-9693111;R-HSA-5666160;R-HSA-5623667;R-HSA-5672304;R-HSA-9018798;R-HSA-9018785;R-HSA-5668735;R-HSA-9018787;R-HSA-5627775;R-HSA-9013157;R-HSA-5668731;R-HSA-5665659;R-HSA-9013159;R-HSA-5669240;R-HSA-5666169;R-HSA-8981926;R-HSA-9013158;R-HSA-9018808;R-HSA-2130194;R-HSA-5668718;R-HSA-6798174;R-HSA-5668714;R-HSA-9018804;R-HSA-203070;R-HSA-9018807;R-HSA-9018806;R-HSA-5666070;R-HSA-5668629;R-HSA-8981443;R-HSA-9693125;R-HSA-5666049;R-HSA-445797;R-HSA-5666104;R-HSA-5671737;R-HSA-5669158;R-HSA-419197;R-HSA-5666088;R-HSA-5665751;R-HSA-5665748;R-HSA-2029469;R-HSA-2029466;R-HSA-9013004;R-HSA-2029465;R-HSA-9013006;R-HSA-2029460;R-HSA-2029456;R-HSA-5625797;R-HSA-5625796;R-HSA-9626880;R-HSA-9013021;R-HSA-9013023;R-HSA-9013022;R-HSA-9013009;R-HSA-9714480;R-HSA-9714481;R-HSA-419232;R-HSA-9714483;R-HSA-9013024;R-HSA-5625849;R-HSA-5625848;R-HSA-5665767;R-HSA-5665761;R-HSA-5671919;R-HSA-9714477;R-HSA-2029473;R-HSA-5666197;R-HSA-5625745;R-HSA-5666178;R-HSA-5669250;R-HSA-442832;R-HSA-5627275;R-HSA-5625738;R-HSA-5672329;R-HSA-5665727;R-HSA-5625784;R-HSA-9690494;R-HSA-9690493;R-HSA-9018745;R-HSA-9018747;R-HSA-9018746;R-HSA-5625774;R-HSA-9013109;R-HSA-9013108;R-HSA-9013111;R-HSA-5666216;R-HSA-9013110"
R-HSA-68877,"Mitotic Prometaphase",155,211,0.014785228785649219,0.012980771480752384,0.795857212076082,20,20,0.0014730794726375489,9606,Homo sapiens,"54908;22913;8655;11064;1460;7280;23047;1063;22994;1062;22995;9184;7283;1459;991;151648;55166;203068;1454;1058;1453;79019;151246;85378;10376;9735;64151;10381;10383;23332;95681;79003;10426;55055;81565;54801;22919;10142;7846;10783;10540;113130;84790;348995;348235;9126;10592;4751;23421;57122;220134;57082;84617;2171;27229;891;1997;57405;51143;147841;3014;6249;79959;1639;9918;27183;51704;4085;93323;9133;23397;64105;23431;401541;22981;58189;440145;79023;10403;54820;55755;80776;10806;701;5566;54821;2619;80097;6396;9662;10051;1781;23122;1780;3320;81929;79172;1778;10733;80321;81930;4926;114791;10735;55920;55125;9814;5577;7514;3796;140609;9793;7532;7531;91687;2122;2121;57551;79682;27175;5905;2117;2512;2631;653784;90624;5347;5501;1949;83540;5108;80152;5903;23091;55142;2491;22897;5519;332;55143;1950;3215;699;5116;347733;3619;140735;5515;11004;5516;5518;25936;9212;7277;8243;11130;27436;23354;64946;79980;10844;121441;983;10726;79902;5885;8636;11258;55839;84131;5528;4957","","R-HSA-2514854;R-HSA-2468293;R-HSA-9648114;R-HSA-9648017;R-HSA-375302;R-HSA-2545253;R-HSA-156682;R-HSA-1638803;R-HSA-9648089;R-HSA-9647746;R-HSA-2529015;R-HSA-2466068;R-HSA-2484822;R-HSA-2520883;R-HSA-2467794;R-HSA-380316;R-HSA-380508;R-HSA-2468287;R-HSA-2529020;R-HSA-1638821"
R-HSA-9013106,"RHOC GTPase cycle",64,79,0.005535701772826011,0.016741569765783337,0.795857212076082,6,6,4.419238417912646E-4,9606,Homo sapiens,"6793;91452;4650;5585;5586;9743;2909;55160;23002;23365;2230;57584;392;9341;91010;790;26073;29941;114793;85457;26112;54878;10211;3998;85480;93663;9475;7410;91445;81839;2040;2280;3329;1503;26084;3728;54962;54443;9826;55219;11113;1509;90627;2319;64283;9828;29;6093;284119;29127;2200;613;9639;10395;857;55701;55789;3930;26094;8826;4162;5295;7112;9414;9217;9138;58189;80728;387;81624;389;1520;3146;85465;128239;1729;708;85460","","R-HSA-9013109;R-HSA-9714361;R-HSA-9013108;R-HSA-9013111;R-HSA-9013110;R-HSA-9714363"
R-HSA-69620,"Cell Cycle Checkpoints",197,280,0.019620208815079532,0.025988684441504928,0.795857212076082,56,56,0.004124622523385137,9606,Homo sapiens,"4172;9861;4173;54908;7321;4174;4175;8655;4176;6233;11065;7324;57060;9184;4171;472;2664;151246;9735;5932;7334;11073;119504;28986;5707;5708;5709;6117;6119;5700;6118;5701;5702;2319;7341;348995;7465;7468;23266;220134;57082;9088;4193;5717;5719;57405;1111;6249;5710;5711;54931;5714;27183;5716;4085;9656;23155;3428;10403;54820;80776;701;51434;8318;5720;85300;54821;8317;4998;6396;8697;5982;5983;23122;27286;1017;55920;29105;3796;10971;9793;8345;91687;57551;79682;27175;1027;1026;5984;5985;5501;1949;8339;10393;116028;2491;5519;55388;55143;1950;3215;51588;8349;5515;11004;5516;5518;8365;9212;7158;7157;9577;11130;23595;51230;983;1960;10726;23594;79902;55839;5528;3364;1063;1062;990;991;151648;55166;993;995;1058;996;79019;83990;8924;64682;64326;23332;79003;55055;641;81565;22919;348235;5685;23421;57122;2294;890;29882;891;3017;51143;147841;3014;2167;11200;10111;7979;51703;9133;4361;9134;5694;5695;5696;64105;9491;23431;401541;79023;10926;80010;8970;1781;1780;81929;79172;1778;81930;672;51720;7514;5699;10213;9156;7532;7531;7534;7533;27338;84515;5905;2512;2631;90624;5347;83540;80152;5903;23091;5000;5001;3980;63967;332;699;83695;3619;140735;165918;3978;25936;8881;64946;580;79980;51512;51759","","R-HSA-349444;R-HSA-69891;R-HSA-6799332;R-HSA-75010;R-HSA-8852354;R-HSA-5683792;R-HSA-75016;R-HSA-176264;R-HSA-349455;R-HSA-264458;R-HSA-6804724;R-HSA-75028;R-HSA-187934;R-HSA-75809;R-HSA-176298;R-HSA-6803403;R-HSA-176175;R-HSA-6793685;R-HSA-6803411;R-HSA-69685;R-HSA-69562;R-HSA-176318;R-HSA-6804955;R-HSA-6803801;R-HSA-5683735;R-HSA-170055;R-HSA-170070;R-HSA-6803388;R-HSA-69598;R-HSA-6803719;R-HSA-69600;R-HSA-5633460;R-HSA-6804741;R-HSA-141409;R-HSA-69604;R-HSA-264418;R-HSA-176101;R-HSA-6804879;R-HSA-5683774;R-HSA-69608;R-HSA-6799246;R-HSA-9029987;R-HSA-141422;R-HSA-141423;R-HSA-141431;R-HSA-176116;R-HSA-8852337;R-HSA-141429;R-HSA-264435;R-HSA-349426;R-HSA-176250;R-HSA-264444;R-HSA-8852351;R-HSA-141439;R-HSA-141437;R-HSA-5693609"
R-HSA-5663220,"RHO GTPases Activate Formins",110,149,0.010440753976595893,0.02798006377167528,0.795857212076082,26,27,0.0019886572880606908,9606,Homo sapiens,"54908;8655;7280;1063;1062;91010;9184;1855;991;151648;55166;1730;1058;79019;151246;10376;9735;1857;1856;10381;10383;23332;23213;79003;55055;81565;22919;7846;84790;348995;348235;23421;57122;220134;57082;84617;23380;57405;51143;147841;3014;6249;27183;4085;22989;64105;23431;401541;58189;79023;10403;387;388;81624;389;54820;80776;701;54821;6396;286205;1781;23122;1780;23002;81929;79172;1778;81930;55920;114793;7514;3796;5216;9793;91687;57551;79682;27175;5905;2512;2631;90624;5347;5501;1949;60;3688;83540;6714;80152;5903;23091;2491;5519;332;55143;1950;3215;699;6722;71;347733;3619;140735;5515;11004;5516;5879;5518;25936;9212;7277;11130;64946;79980;10726;79902;1729;55839;5528","","R-HSA-5666070;R-HSA-5665751;R-HSA-5665748;R-HSA-3858489;R-HSA-3858495;R-HSA-5666129;R-HSA-5665809;R-HSA-5666001;R-HSA-5666008;R-HSA-5665989;R-HSA-5663232;R-HSA-5666049;R-HSA-5665998;R-HSA-5665999;R-HSA-5665802;R-HSA-5666160;R-HSA-5665982;R-HSA-5666046;R-HSA-5665727;R-HSA-5665659;R-HSA-5666104;R-HSA-5666169;R-HSA-5665767;R-HSA-5665761;R-HSA-203070;R-HSA-5666088"
